gene_id	n_exons	b	abs_b	type
STRG.10700	18	-1.14198291	1.14198291	para
STRG.10700	18	1.731858651	1.731858651	holo
STRG.10704	3	0.340482875	0.340482875	para
STRG.10704	3	0.90079653	0.90079653	holo
STRG.10704	3	1.206031555	1.206031555	holo
STRG.10704	3	1.530100172	1.530100172	para
STRG.10705	18	-2.481280917	2.481280917	holo
STRG.10705	18	-0.279553503	0.279553503	holo
STRG.10705	18	0.416210006	0.416210006	para
STRG.10708	12	0.381679951	0.381679951	para
STRG.10708	12	1.644046322	1.644046322	mero
STRG.10711	18	-4.573348758	4.573348758	para
STRG.10711	18	-0.786267888	0.786267888	holo
STRG.10711	18	0.610625706	0.610625706	para
STRG.10713	18	-1.904509057	1.904509057	holo
STRG.10713	18	0.324212777	0.324212777	para
STRG.10725	12	-5.998474927	5.998474927	holo
STRG.10725	12	-2.255868921	2.255868921	holo
STRG.10737	4	-1.106007674	1.106007674	holo
STRG.10737	4	-0.793268831	0.793268831	holo
STRG.10737	4	-0.598732767	0.598732767	para
STRG.10737	4	2.247217421	2.247217421	holo
STRG.10743	6	-1.910631197	1.910631197	holo
STRG.10753	24	0.632759081	0.632759081	holo
STRG.1077	20	-0.619691996	0.619691996	para
STRG.1077	20	0.609534788	0.609534788	para
STRG.10773	5	-4.932742008	4.932742008	holo
STRG.10773	5	0.340482875	0.340482875	para
STRG.10777	24	1.731858651	1.731858651	holo
STRG.10777	24	3.560414925	3.560414925	holo
STRG.10779	10	-0.786267888	0.786267888	holo
STRG.10779	10	-0.393897024	0.393897024	holo
STRG.10779	10	0.610625706	0.610625706	para
STRG.10781	16	-0.371308559	0.371308559	holo
STRG.10807	19	-4.932742008	4.932742008	holo
STRG.10807	19	-3.701992705	3.701992705	holo
STRG.10807	19	-1.7481788	1.7481788	holo
STRG.10807	19	1.009911605	1.009911605	para
STRG.10807	19	1.495179972	1.495179972	para
STRG.10814	2	-0.613199687	0.613199687	holo
STRG.10814	2	0.712940818	0.712940818	para
STRG.10828	38	-1.226016954	1.226016954	para
STRG.10828	38	0.445623155	0.445623155	para
STRG.10838	24	-3.371129133	3.371129133	holo
STRG.10838	24	-1.76411346	1.76411346	holo
STRG.10838	24	-0.336642513	0.336642513	holo
STRG.10838	24	0.441057392	0.441057392	para
STRG.10838	24	0.481871091	0.481871091	holo
STRG.10842	27	-0.279553503	0.279553503	holo
STRG.10842	27	0.416210006	0.416210006	para
STRG.10842	27	1.609596888	1.609596888	para
STRG.10842	27	1.725441391	1.725441391	holo
STRG.10852	32	-2.259250577	2.259250577	para
STRG.10859	38	-0.861247588	0.861247588	para
STRG.1086	9	0.609534788	0.609534788	para
STRG.10869	32	0.694953011	0.694953011	para
STRG.10874	64	-0.33995707	0.33995707	holo
STRG.10874	64	0.454388519	0.454388519	para
STRG.1088	8	-0.664184758	0.664184758	para
STRG.1088	8	-0.468700489	0.468700489	para
STRG.10883	8	-2.798310032	2.798310032	mero
STRG.10887	23	0.488091084	0.488091084	mero
STRG.10887	23	1.127583484	1.127583484	para
STRG.10893	16	-0.437656038	0.437656038	holo
STRG.10894	32	1.530100172	1.530100172	para
STRG.109	16	2.649601585	2.649601585	holo
STRG.10901	5	-0.83212094	0.83212094	para
STRG.10909	11	-4.560771264	4.560771264	para
STRG.10909	11	0.916822741	0.916822741	holo
STRG.10911	20	-4.932742008	4.932742008	holo
STRG.10911	20	-3.701992705	3.701992705	holo
STRG.10911	20	0.642753866	0.642753866	para
STRG.10913	6	-2.61645822	2.61645822	para
STRG.10913	6	-0.628286107	0.628286107	para
STRG.10925	39	-2.772306795	2.772306795	para
STRG.10934	39	-2.795353146	2.795353146	holo
STRG.10934	39	1.530100172	1.530100172	para
STRG.10940	19	-1.7481788	1.7481788	holo
STRG.10940	19	1.009911605	1.009911605	para
STRG.10942	21	-0.939929973	0.939929973	para
STRG.10942	21	0.404592099	0.404592099	para
STRG.10942	21	1.075640589	1.075640589	holo
STRG.10948	41	0.90079653	0.90079653	holo
STRG.10948	41	1.206031555	1.206031555	holo
STRG.10948	41	1.609596888	1.609596888	para
STRG.10948	41	1.725441391	1.725441391	holo
STRG.10964	8	-2.67156568	2.67156568	holo
STRG.10964	8	-2.528386053	2.528386053	mero
STRG.10964	8	0.455236052	0.455236052	para
STRG.10975	19	-2.12424979	2.12424979	para
STRG.10975	19	2.318956486	2.318956486	holo
STRG.10976	25	-0.83212094	0.83212094	para
STRG.10979	21	0.426125542	0.426125542	para
