target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
STRG.15144.2_4	0.0005701480890491	0.0160211668382355	-0.487273233128941	0.1414258877992	4.20344117497705	0.147178098991995	0.00596257241873609	0.00561585304077579	0.0240393501909517	0.0240393501909517
STRG.15215.1_6	0.0005701480890491	0.0160211668382355	-0.487273233128941	0.1414258877992	4.20344117497705	0.147178098991995	0.00596257241873609	0.00561585304077579	0.0240393501909517	0.0240393501909517
STRG.15426.1_1	0.0005701480890491	0.0160211668382355	-0.487273233128941	0.1414258877992	4.20344117497705	0.147178098991995	0.00596257241873609	0.00561585304077579	0.0240393501909517	0.0240393501909517
STRG.15479.1_2	0.0005701480890491	0.0160211668382355	-0.487273233128941	0.1414258877992	4.20344117497705	0.147178098991995	0.00596257241873609	0.00561585304077579	0.0240393501909517	0.0240393501909517
STRG.188.2_5	0.000572818979181775	0.0160385988983324	0.369327698349398	0.107232766890792	5.08026154788548	0.0498436019206979	0.000541842179831484	0.0057488950377397	0.0167064572627509	0.0167064572627509
STRG.193.2_5	0.000572818979181775	0.0160385988983324	0.369327698349398	0.107232766890792	5.08026154788548	0.0498436019206979	0.000541842179831484	0.0057488950377397	0.0167064572627509	0.0167064572627509
STRG.19564.2_3	0.000572595764115207	0.0160385988983324	-0.655353580337206	0.190273375257013	3.28519559850564	0.0946684636459834	0.0103383265975272	0.0195634303376916	0.0439676094000168	0.0439676094000168
STRG.19658.1_9	0.000572595764115207	0.0160385988983324	-0.655353580337206	0.190273375257013	3.28519559850564	0.0946684636459834	0.0103383265975272	0.0195634303376916	0.0439676094000168	0.0439676094000168
STRG.197.2_4	0.000572818979181775	0.0160385988983324	0.369327698349398	0.107232766890792	5.08026154788548	0.0498436019206979	0.000541842179831484	0.0057488950377397	0.0167064572627509	0.0167064572627509
STRG.19777.2_5	0.000572595764115207	0.0160385988983324	-0.655353580337206	0.190273375257013	3.28519559850564	0.0946684636459834	0.0103383265975272	0.0195634303376916	0.0439676094000168	0.0439676094000168
STRG.19879.1_11	0.000572595764115207	0.0160385988983324	-0.655353580337206	0.190273375257013	3.28519559850564	0.0946684636459834	0.0103383265975272	0.0195634303376916	0.0439676094000168	0.0439676094000168
STRG.19975.2_4	0.000572595764115207	0.0160385988983324	-0.655353580337206	0.190273375257013	3.28519559850564	0.0946684636459834	0.0103383265975272	0.0195634303376916	0.0439676094000168	0.0439676094000168
STRG.201.2	0.000572818979181775	0.0160385988983324	0.369327698349398	0.107232766890792	5.08026154788548	0.0498436019206979	0.000541842179831484	0.0057488950377397	0.0167064572627509	0.0167064572627509
STRG.203.2_4	0.000572818979181775	0.0160385988983324	0.369327698349398	0.107232766890792	5.08026154788548	0.0498436019206979	0.000541842179831484	0.0057488950377397	0.0167064572627509	0.0167064572627509
STRG.20300.3_1	0.000572434341749572	0.0160385988983324	0.546263991470483	0.158597124209181	6.3700396340696	0.068271969216079	0.0107421423913052	0.0269874293198284	0.013118624868875	0.0269874293198284
STRG.20335.3	0.000572595764115207	0.0160385988983324	-0.655353580337206	0.190273375257013	3.28519559850564	0.0946684636459834	0.0103383265975272	0.0195634303376916	0.0439676094000168	0.0439676094000168
STRG.20432.3_4	0.000572595764115207	0.0160385988983324	-0.655353580337206	0.190273375257013	3.28519559850564	0.0946684636459834	0.0103383265975272	0.0195634303376916	0.0439676094000168	0.0439676094000168
STRG.205.2_5	0.000572818979181775	0.0160385988983324	0.369327698349398	0.107232766890792	5.08026154788548	0.0498436019206979	0.000541842179831484	0.0057488950377397	0.0167064572627509	0.0167064572627509
STRG.20573.2_1	0.000572595764115207	0.0160385988983324	-0.655353580337206	0.190273375257013	3.28519559850564	0.0946684636459834	0.0103383265975272	0.0195634303376916	0.0439676094000168	0.0439676094000168
STRG.206.2_1	0.000572818979181775	0.0160385988983324	0.369327698349398	0.107232766890792	5.08026154788548	0.0498436019206979	0.000541842179831484	0.0057488950377397	0.0167064572627509	0.0167064572627509
STRG.20609.2_4	0.000572595764115207	0.0160385988983324	-0.655353580337206	0.190273375257013	3.28519559850564	0.0946684636459834	0.0103383265975272	0.0195634303376916	0.0439676094000168	0.0439676094000168
STRG.20642.2	0.000572595764115207	0.0160385988983324	-0.655353580337206	0.190273375257013	3.28519559850564	0.0946684636459834	0.0103383265975272	0.0195634303376916	0.0439676094000168	0.0439676094000168
STRG.207.1_6	0.000572818979181775	0.0160385988983324	0.369327698349398	0.107232766890792	5.08026154788548	0.0498436019206979	0.000541842179831484	0.0057488950377397	0.0167064572627509	0.0167064572627509
STRG.210.2_3	0.000572818979181775	0.0160385988983324	0.369327698349398	0.107232766890792	5.08026154788548	0.0498436019206979	0.000541842179831484	0.0057488950377397	0.0167064572627509	0.0167064572627509
